timestep,under,over
1,1,0
2,1,0
3,0,0
4,0,0
5,0,0
6,1,0
7,1,0
8,1,0
9,0,0
10,0,0
11,0,0
12,2,0
13,0,0
14,0,0
15,0,0
16,0,0
17,2,0
18,1,0
19,2,0
20,1,0
21,1,0
22,1,0
23,1,0
24,0,0
25,1,0
26,2,0
27,2,0
28,2,0
29,2,0
30,2,0
31,1,0
32,1,0
33,1,0
34,0,0
35,0,0
36,0,0
37,1,0
38,1,0
39,0,0
40,2,0
41,1,0
42,0,0
43,0,0
44,1,0
45,1,0
46,1,0
47,1,0
48,2,0
49,1,0
50,2,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,2,0
58,2,0
59,1,0
60,0,0
61,0,0
62,0,0
63,1,0
64,2,0
65,1,0
66,0,0
67,2,0
68,1,0
69,1,0
70,0,0
71,1,0
72,1,0
73,1,0
74,2,0
75,2,0
76,2,0
77,1,0
78,1,0
79,1,0
80,1,0
81,2,0
82,2,0
83,1,0
84,1,0
85,1,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,0
91,1,0
92,1,0
93,1,0
